item_id,restaurant_id,name,description,price,is_available,category
13eca20f-e3bd-4e90-a01b-79a7957ead5b,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,Pepperoni Pizza,Pepperoni Pizza,10.99,True,Italian
d0b0216a-c4fb-46c8-b4f1-45753fac55d1,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,Veggie Pizza,Veggie Pizza,8.99,True,Italian
20319547-7509-4bee-b56a-7a01af3078cd,4a67d1a7-7cdb-4114-a9a9-e087abc3eb6b,Meat Pizza,Meat Pizza,11.99,True,Italian
cb146a40-3fb7-4d5a-9f65-b33547b3ba53,aea04351-a894-46b8-bf8b-56e8b49e76e9,Bacon Burger,Bacon Burger,17.99,True,American
8e406079-3a83-4062-971c-44c6dd6960e8,6d2a60ed-2bda-45fd-9a91-774ac5c098d1,Mushroom Risotto,A delicious risotto with a creamy mushroom sauce.,24.99,True,Italian
64b23505-865e-4709-a350-6c30c735e984,6d2a60ed-2bda-45fd-9a91-774ac5c098d1,Meat Lasagna,"A three cheese, meat lasagna with bechamel sauce.",22.99,True,Italian
9d3d778c-6c98-457c-9cde-cd08e18b960f,6d2a60ed-2bda-45fd-9a91-774ac5c098d1,Spaghetti and Meatballs,Spaghetti with a tomato sauce and meatballs.,18.99,True,Italian
d4a108cf-959e-4d86-a3bc-5786e4980744,ebd0f312-e6b0-4b02-a9b5-5510bc0f080d,Baingan Bharta,A smoky and tangy eggplant dish.,14.99,True,Indian
bf346e4f-c5ae-49d0-9da1-ce4a497f4511,ebd0f312-e6b0-4b02-a9b5-5510bc0f080d,Butter Chicken and Rice,"A delicious, tandoor chicken dish with a creamy tomato-based sauce.",13.99,True,Indian
0aefb303-6c43-43a0-ba11-58a02d8cfd78,64d1111d-f14f-40ac-9f1d-3378e0d6c2fa,California Roll,A sushi roll with crab.,12.99,True,Japanese
c534f61c-bf53-4b69-b2f6-a851e414467d,64d1111d-f14f-40ac-9f1d-3378e0d6c2fa,Chicken Teriyaki Bowl,A rice bowl with chicken teriyaki and a vegetable mix.,45.99,True,Japanese
2e2da5c4-043d-45b9-85ce-7d7ecbe9a05f,aea04351-a894-46b8-bf8b-56e8b49e76e9,Cheeseburger,a cheesy burger,12.99,True,American
f058af9f-c906-4a44-9824-6c5d24968d69,0da92ea7-63ed-4c97-9fac-c86efaf636d1,Beef Taco,a beefy taco,2.99,True,Mexican
